"id" "label" "cleanlabel"
1 "tBodyAcc-mean()-X" "timeDomainBodyAccelerometerMeanX"
2 "tBodyAcc-mean()-Y" "timeDomainBodyAccelerometerMeanY"
3 "tBodyAcc-mean()-Z" "timeDomainBodyAccelerometerMeanZ"
4 "tBodyAcc-std()-X" "timeDomainBodyAccelerometerStdX"
5 "tBodyAcc-std()-Y" "timeDomainBodyAccelerometerStdY"
6 "tBodyAcc-std()-Z" "timeDomainBodyAccelerometerStdZ"
41 "tGravityAcc-mean()-X" "timeDomainGravityAccelerometerMeanX"
42 "tGravityAcc-mean()-Y" "timeDomainGravityAccelerometerMeanY"
43 "tGravityAcc-mean()-Z" "timeDomainGravityAccelerometerMeanZ"
44 "tGravityAcc-std()-X" "timeDomainGravityAccelerometerStdX"
45 "tGravityAcc-std()-Y" "timeDomainGravityAccelerometerStdY"
46 "tGravityAcc-std()-Z" "timeDomainGravityAccelerometerStdZ"
81 "tBodyAccJerk-mean()-X" "timeDomainBodyAccelerometerJerkMeanX"
82 "tBodyAccJerk-mean()-Y" "timeDomainBodyAccelerometerJerkMeanY"
83 "tBodyAccJerk-mean()-Z" "timeDomainBodyAccelerometerJerkMeanZ"
84 "tBodyAccJerk-std()-X" "timeDomainBodyAccelerometerJerkStdX"
85 "tBodyAccJerk-std()-Y" "timeDomainBodyAccelerometerJerkStdY"
86 "tBodyAccJerk-std()-Z" "timeDomainBodyAccelerometerJerkStdZ"
121 "tBodyGyro-mean()-X" "timeDomainBodyGyroscopeMeanX"
122 "tBodyGyro-mean()-Y" "timeDomainBodyGyroscopeMeanY"
123 "tBodyGyro-mean()-Z" "timeDomainBodyGyroscopeMeanZ"
124 "tBodyGyro-std()-X" "timeDomainBodyGyroscopeStdX"
125 "tBodyGyro-std()-Y" "timeDomainBodyGyroscopeStdY"
126 "tBodyGyro-std()-Z" "timeDomainBodyGyroscopeStdZ"
161 "tBodyGyroJerk-mean()-X" "timeDomainBodyGyroscopeJerkMeanX"
162 "tBodyGyroJerk-mean()-Y" "timeDomainBodyGyroscopeJerkMeanY"
163 "tBodyGyroJerk-mean()-Z" "timeDomainBodyGyroscopeJerkMeanZ"
164 "tBodyGyroJerk-std()-X" "timeDomainBodyGyroscopeJerkStdX"
165 "tBodyGyroJerk-std()-Y" "timeDomainBodyGyroscopeJerkStdY"
166 "tBodyGyroJerk-std()-Z" "timeDomainBodyGyroscopeJerkStdZ"
201 "tBodyAccMag-mean()" "timeDomainBodyAccelerometerMagnitudeMean"
202 "tBodyAccMag-std()" "timeDomainBodyAccelerometerMagnitudeStd"
214 "tGravityAccMag-mean()" "timeDomainGravityAccelerometerMagnitudeMean"
215 "tGravityAccMag-std()" "timeDomainGravityAccelerometerMagnitudeStd"
227 "tBodyAccJerkMag-mean()" "timeDomainBodyAccelerometerJerkMagnitudeMean"
228 "tBodyAccJerkMag-std()" "timeDomainBodyAccelerometerJerkMagnitudeStd"
240 "tBodyGyroMag-mean()" "timeDomainBodyGyroscopeMagnitudeMean"
241 "tBodyGyroMag-std()" "timeDomainBodyGyroscopeMagnitudeStd"
